,company_name,company_rating,old,total_employees,cities,type,industry
126,Veradigm,4.1,,,Pune +6 more,,
127,Nihilent,3.6, 24 years old , 1k-5k Employees , Pune +5 more,,
128,Ups Logistics,4.0, 117 years old , 1k-5k Employees , Pune +36 more, Forbes Global 2000 ,Logistics 
129,KPMG India,3.6, 37 years old , 10k-50k Employees , Pune +75 more,,
130,BMC Software,4.2, 44 years old , 1k-5k Employees , Pune +8 more,,
131,TIAA Global Business Services,4.1, 106 years old , 1k-5k Employees , Pune +8 more,,
132,Jio,4.0, 6 years old , 50k-1 Lakh Employees , Pune +1175 more, Public ,Telecom 
133,Entrata,4.4, 21 years old , 501-1k Employees , Pune +3 more,,
134,Suma Soft,4.0, 24 years old , 1k-5k Employees , Pune +9 more,,
135,NICE,3.8, 38 years old , 1k-5k Employees , Pune +14 more, Public ,Software Product 
136,Ge India Industrial,4.3, 122 years old , 201-500 Employees , Pune +19 more, Conglomerate ,Industrial Machinery 
137,Bharti Airtel,4.1, 29 years old , 10k-50k Employees , Pune +660 more, Public ,Telecom 
138,Shapoorji Pallonji Group,4.2, 159 years old , 5k-10k Employees , Pune +162 more, Conglomerate ,Engineering & Construction 
139,Amphenol Interconnect,4.2, 52 years old , 201-500 Employees , Pune +13 more,,
140,Gabriel India,4.2, 63 years old , 1k-5k Employees , Pune +40 more, Public ,Auto Components 
141,SKF,4.0, 101 years old , 1k-5k Employees , Pune +62 more, Public ,Auto Components 
142,IGT Solutions,3.4, 26 years old , 5k-10k Employees , Pune +34 more,,
143,SG Analytics,3.5, 18 years old , 1k-5k Employees , Pune +6 more,,
144,Ernst & Young,3.6, 22 years old , 50k-1 Lakh Employees , Pune +94 more,,
145,ThyssenKrupp Industries India,4.2, 77 years old , 1k-5k Employees , Pune +44 more, Conglomerate ,Industrial Machinery 
146,Škoda Auto Volkswagen,4.3, 23 years old , 5k-10k Employees , Pune +13 more, Fortune India 500 ,Automobile 
147,Spark Minda,3.9, 66 years old , 1k-5k Employees , Pune +60 more, Public ,Auto Components 
148,GS Lab,3.9, 21 years old , 1k-5k Employees , Pune +4 more,,
149,Cipla,4.1, 89 years old , 10k-50k Employees , Pune +239 more, Public ,Pharma 
150,Access Healthcare,4.0, 13 years old , 5k-10k Employees , Pune +31 more,,
151,Jaya Hind Industries,3.8, 77 years old , 1k-5k Employees , Pune +21 more, Public ,Auto Components 
152,Syngenta,4.3, 24 years old , 1k-5k Employees , Pune +137 more,,
153,Dana Anand,4.2, 31 years old , 1k-5k Employees , Pune +37 more,,
154,Rohan Builders,4.2, 31 years old , 1k-5k Employees , Pune +57 more,,
155,Forbes Marshall,4.1, 99 years old , 1k-5k Employees , Pune +21 more,,
156,Advik Hi Tech,3.8, 24 years old , 1k-5k Employees , Pune +21 more,,
157,Haier Appliances India,4.1, 20 years old , 1k-5k Employees , Pune +109 more, Conglomerate ,Consumer Electronics & Appliances 
158,Crisil,3.7, 37 years old , 1k-5k Employees , Pune +53 more, Public ,Financial Services 
159,Knorr-Bremse,4.1, 11 years old , 501-1k Employees , Pune +27 more, Forbes Global 2000 ,Auto Components 
160,GE,4.3, 132 years old , 10k-50k Employees , Pune +62 more, Forbes Global 2000 ,Defence & Aerospace 
161,Atos Global IT Solutions And Services,4.0, 24 years old , 5k-10k Employees , Pune +17 more,,
162,Northern Trust Operating Services,4.1, 135 years old , 5k-10k Employees , Pune +16 more, Forbes Global 2000 ,Financial Services 
163,CBRE,4.2, 118 years old , 10k-50k Employees , Pune +75 more, Forbes Global 2000 ,Real Estate 
164,Praj Industries,4.3, 41 years old , 1k-5k Employees , New Delhi +21 more, Public ,Biotechnology 
165,Yardi Systems,3.9, 40 years old , 1k-5k Employees , Pune +2 more,,
166,Michelin,3.9, 15 years old , 1k-5k Employees , New Delhi +41 more,,
167,Serum Institute of India,4.4, 58 years old , 1k-5k Employees , New Delhi +17 more,,
168,Markets and Markets,3.5, 14 years old , 501-1k Employees , Pune +10 more,,
169,Belrise Industries,3.8, 28 years old , 10k-50k Employees , New Delhi +39 more,,
