,company_name,company_rating,old,total_employees,cities,type,industry
183,Indoco Remedies,3.7, 77 years old , 5k-10k Employees , Mumbai +69 more, Public ,Pharma 
184,PharmEasy,3.7, 9 years old , 1k-5k Employees , Mumbai +56 more, Indian Unicorn ,Internet 
185,Infosys,3.8, 43 years old , 1 Lakh+ Employees , Mumbai +182 more, Public ,IT Services & Consulting 
186,Kansai Nerolac Paints,3.9, 104 years old , 1k-5k Employees , Mumbai +182 more, Public ,Chemicals 
187,National Payments Corporation of India,3.9, 14 years old , 1k-5k Employees , Mumbai +10 more,,
188,Marico,4.1, 36 years old , 1k-5k Employees , Mumbai +149 more, Public ,FMCG 
189,GEP Worldwide,3.8, 25 years old , 1k-5k Employees , Mumbai +10 more,,
190,NextComm Corporation,4.9, 7 years old ,1k-5k Employees , Mumbai +11 more,,
191,Voltas,4.1, 70 years old , 1k-5k Employees , Mumbai +174 more, Public ,Consumer Electronics & Appliances 
192,Thomas Cook,3.9, 143 years old , 1k-5k Employees , Mumbai +73 more, Public ,Travel & Tourism 
193,Colgate Palmolive,4.2, 87 years old , 1k-5k Employees , Mumbai +96 more, Public ,FMCG 
194,Genesys International Corporation,3.8, 29 years old , 1k-5k Employees , Mumbai +14 more, Public ,IT Services & Consulting 
195,Citicorp,3.7, 27 years old , 10k-50k Employees , Mumbai +23 more,,
196,TCE,3.8, 62 years old , 5k-10k Employees , Mumbai +102 more,,
197,Ocwen Financial Solutions,4.2, 36 years old , 1k-5k Employees , Mumbai +7 more,,
198,Sanofi,4.4, 20 years old , 1k-5k Employees , Mumbai +71 more, Public ,Pharma 
199,Future Generali India Life Insurance,3.8, 17 years old , 1k-5k Employees , Mumbai +173 more,,
200,Tecnimont,3.8, 19 years old , 1k-5k Employees , Mumbai +31 more,,
201,Edubridge Learning,4.1, 15 years old , 501-1k Employees , Mumbai +61 more,,
202,Parle Products,4.0, 95 years old , 1k-5k Employees , Mumbai +187 more,,
203,Sharekhan,4.0, 24 years old , 1k-5k Employees , Mumbai +108 more, Public ,Financial Services 
204,Vfs Global Services,3.7, 23 years old , 1k-5k Employees , Mumbai +25 more,,
205,Medikabazaar,4.7, 10 years old , 501-1k Employees , Mumbai +28 more, Startup ,Medical Equipment 
206,Kokilaben Dhirubhai Ambani Hospital,3.9, 15 years old , 1k-5k Employees , Mumbai +17 more,,
207,Maersk,4.3, 120 years old , 10k-50k Employees , Mumbai +36 more,,
208,Wipro Infotech,4.0, 79 years old , 1 Lakh+ Employees (Global) , Mumbai +118 more,,
209,Trent,4.1, 26 years old , 10k-50k Employees , Mumbai +110 more, Public ,Retail 
210,LEAD School,3.3, 11 years old , 1k-5k Employees , Mumbai +87 more, Indian Unicorn ,EdTech 
211,Paytm,3.5, 14 years old , 10k-50k Employees , Mumbai +327 more, Public ,FinTech 
212,FIS,3.9, 56 years old , 10k-50k Employees , Mumbai +43 more,,
213,Mazagon Dock,4.3, 90 years old ,1k-5k Employees , Mumbai +8 more, Fortune India 500 ,
214,ICICI Securities,3.8, 29 years old , 1k-5k Employees , Mumbai +122 more, Public ,Financial Services 
215,Aarti Industries,4.2, 49 years old , 5k-10k Employees , Mumbai +43 more, Public ,Agro Chemicals 
216,Team Computers,3.7, 37 years old , 1k-5k Employees , Mumbai +86 more,,
217,Kalpataru Power Transmission,4.2, 43 years old , 1k-5k Employees , Mumbai +208 more, Public ,Engineering & Construction 
218,Bureau Veritas,4.0, 196 years old , 1k-5k Employees , Mumbai +114 more, Forbes Global 2000 ,Other 
219,Metropolis Healthcare,4.1, 44 years old , 1k-5k Employees , Mumbai +78 more, Conglomerate ,Healthcare 
