,company_name,company_rating,old,total_employees,cities,type,industry
167,Sanghi Brothers,3.5, 74 years old , 501-1k Employees , Indore +7 more,,
168,Bombay Hospital,4.2, 72 years old , 501-1k Employees , Indore +5 more,,
169,Piramal Capital Housing Finance,4.3, 4 years old , 1k-5k Employees , Indore +332 more,,
170,Mosphe,3.9,,,Indore,,
171,HDFC Sales,4.1, 20 years old , 10k-50k Employees , Indore +280 more,,
172,Liugong India,3.4, 66 years old , 201-500 Employees , Indore +16 more,,
173,1point1 Solutions,3.4, 16 years old , 5k-10k Employees , Indore +14 more, Public ,BPO 
174,Walkover Web Solutions,2.7, 17 years old , 11-50 Employees , Indore +1 more,,
175,makin Laboratories,3.2,, 51-200 Employees , Indore +3 more,,
176,Adroit Industries India,3.4, 58 years old , 11-50 Employees , Indore +3 more,,
177,Dabur,3.8, 140 years old , 5k-10k Employees , Indore +250 more, Public ,FMCG 
178,Bajaj Allianz Life Insurance,4.1, 23 years old , 10k-50k Employees , Indore +504 more,,
179,Stanza Living,3.1, 7 years old , 501-1k Employees , Indore +30 more, Startup ,Internet 
180,Poonawalla Fincorp,3.9, 36 years old , 1k-5k Employees , Indore +246 more, Public ,NBFC 
181,Mphasis,3.5, 26 years old , 10k-50k Employees , Indore +54 more, Public ,IT Services & Consulting 
182,Manappuram Finance,4.0, 75 years old , 10k-50k Employees , Indore +513 more, Public ,NBFC 
183,Piramal Group,4.0, 44 years old , 10k-50k Employees , Indore +122 more, Fortune India 500 ,Financial Services 
184,Immersive Infotech,4.6, 13 years old , 51-200 Employees , Indore +1 more,,
185,Ujjivan Small Finance Bank,4.1, 7 years old , 10k-50k Employees , Indore +447 more, Public ,Banking 
186,Indiabulls Home Loans,3.9, 19 years old , 5k-10k Employees , Indore +190 more, Public ,NBFC 
187,Pidilite Industries,4.4, 65 years old , 5k-10k Employees , Indore +242 more, Public ,Chemicals 
188,Walmart,4.0, 15 years old , 5k-10k Employees , Indore +78 more, Forbes Global 2000 ,Retail 
189,DTDC Express,3.8, 34 years old , 1k-5k Employees , Indore +229 more,,
190,Softstandard Solutions,4.3, 11 years old , 201-500 Employees , Indore +3 more,,
191,WNS,3.5, 28 years old , 10k-50k Employees , Indore +38 more,,
192,Cholamandalam Investment & Finance,4.1, 46 years old , 10k-50k Employees , Indore +645 more, Fortune India 500 ,NBFC 
193,Quess,4.0, 17 years old , 1k-5k Employees , Indore +542 more, Public ,BPO 
194,D&H Sécheron Electrodes,4.0, 58 years old , 201-500 Employees , Indore +16 more,,
195,SBI Cards & Payment Services,3.8, 26 years old , 1k-5k Employees , Indore +349 more,,
196,Bakersville,4.4, 13 years old ,51-200 Employees , Indore +4 more,,
197,Chl Hospital,4.0,,1k-5k Employees , Indore +2 more,,
198,Choithram Hospital & Research Centre,4.2, 45 years old , 1k-5k Employees , Indore +4 more,,
199,Radisson Hotels,4.1, 115 years old , 5k-10k Employees , Indore +103 more,,
200,Chl Hospital,4.0,,1k-5k Employees , Indore +2 more,,
201,Tata Motors,4.2, 79 years old , 10k-50k Employees , Indore +433 more, Public ,Automobile 
202,CapitalAim Financial Advisor,2.3, 13 years old , 51-200 Employees , Indore,,
203,Eureka Forbes,3.9, 42 years old , 1k-5k Employees , Indore +159 more,,
204,Indian Steel Corporation,4.2, 20 years old , 1k-5k Employees , Indore +10 more, Public ,Iron & Steel 
205,PolicyX.com,3.5, 11 years old , 51-200 Employees , Indore +4 more, Startup ,FinTech 
206,Hindustan Equipments,3.9, 26 years old , 51-200 Employees , Indore,,
207,USHA International,4.2, 90 years old , 1k-5k Employees , Indore +111 more, Public ,Consumer Electronics & Appliances 
208,Indiamart Intermesh,3.6, 28 years old , 5k-10k Employees , Indore +145 more,,
209,EMINENT BIOSCIENCES,4.9,, 11-50 Employees , Indore +1 more,,
210,AVTEC,3.8, 19 years old , 1k-5k Employees , Indore +20 more, Conglomerate ,Auto Components 
211,Hettich,3.8, 136 years old , 1k-5k Employees , Indore +31 more,,
